Name,Rating,Review_count,category,price_range,area
Hutaoli Music Restaurant & Bar,3.5 star rating,85,Chinese,$$$,Unionville
Uncle Tetsu’s Japanese Cheesecake - Pacific Mall,4 star rating,46,Bakeries,$$,Milliken
Potato Noodle Soup of Bai,4 star rating,42,Chinese,$,Milliken
Pho Time Authentic Vietnamese Eatery,4 star rating,45,Vietnamese,,Vietnamese
Baijia Old Soup - Northwestern Chinese Cuisine,3.5 star rating,86,Chinese,$$,Unionville
Yunshang Rice Noodle,3.5 star rating,98,Noodles,$$,
Chef 88 Elite Fine Dining,4 star rating,52,Dim Sum,$$,Milliken
Terre Rouge,3 star rating,174,French,$$$,Unionville
Sun’s Kitchen,3.5 star rating,86,Asian Fusion,$,Milliken
The 6 Cafe & Restaurant,3.5 star rating,91,Chinese,$$,Buttonville
Stacy’s Island Flavor Restaurant,4.5 star rating,30,Caribbean,,Caribbean
Sung Won,4.5 star rating,39,Korean,,KoreanUnionville
Phoenix Restaurant,3 star rating,158,Chinese,$$,Unionville
Garden Hong Kong Cafe,3.5 star rating,92,Hong Kong Style Cafe,$,Unionville
Chatime Markham,3.5 star rating,126,Coffee & Tea,$,
The Village Grocer,4 star rating,56,Grocery,$$$,Unionville
ZenQ,3 star rating,124,Desserts,$$,Unionville
Ithaca Greek Mediterranean Restaurant,3.5 star rating,86,Mediterranean,$$,Unionville
Kim’s Nature,4.5 star rating,25,Nurseries & Gardening,$$,Greensborough
Diana’s Oyster Bar And Grill,3 star rating,187,Seafood,$$$,
Copper Branch,4 star rating,51,Vegan,$$,Unionville
Hakka Legend Asian Cuisine,4 star rating,65,Halal,$$,Box Grove
Tasty House,4 star rating,48,Desserts,$,Brown's Corners
Myungdong,3.5 star rating,102,Korean,$$,Langstaff
Panash Bakery,3.5 star rating,65,Bakeries,$,Unionville
Pitalicious,4 star rating,54,Middle Eastern,$,
Night It Up!,3.5 star rating,99,Street Vendors,$,Brown's Corners
Flaming Kitchen,3 star rating,136,Asian Fusion,$$,Brown's Corners
Bakery Nakamura,3.5 star rating,79,Bakeries,$$,
One2 Snacks,4.5 star rating,238,Malaysian,$,Scarborough
Graceful Vegetarian Restaurant,4 star rating,116,Vegetarian,$$,Milliken
CoCo Fresh Tea & Juice,3.5 star rating,82,Juice Bars & Smoothies,$,Unionville
Sunset Grill,4 star rating,39,Breakfast & Brunch,$$,Brown's Corners
CoCo Fresh Tea & Juice,4 star rating,63,Juice Bars & Smoothies,$,
Malay Thai Famous Cuisine,3.5 star rating,67,Thai,$,Brown's Corners
369 Shanghai Dim Sum,3.5 star rating,98,Dim Sum,$$,Unionville
Il Postino,4 star rating,80,Italian,$$$,Unionville Mainstreet
Lucullus Bakers & Roasters,3.5 star rating,95,Coffee & Tea,$,Milliken
Sweet House Dessert,3.5 star rating,79,Desserts,$,Milliken
Dum Pukht,3.5 star rating,125,Indian,$$,
Fishman Wharf Seafood,3.5 star rating,98,Seafood,$$$,Milliken
Honeymoon Desserts,4 star rating,49,Desserts,$$,Unionville
Casa Victoria,3 star rating,120,Chinese,$$$,Unionville
Gyubee Japanese Grill - Scarborough,4.5 star rating,142,Japanese,$$$,Milliken
Corner 20 Cafe,4.5 star rating,25,Cafes,$$,Unionville
Sakura Sushi,3.5 star rating,70,Japanese,$$,
Southern Aroma,3.5 star rating,66,Indian,$$,
Lucky Noodle,3.5 star rating,85,Chinese,$,Milliken
Dak Lak Vietnamese Coffee,4 star rating,47,Coffee Roasteries,$,Milliken
Taro’s Fish,4.5 star rating,30,Japanese,,JapaneseSeafood MarketsSushi Bars
Old Country Inn Restaurant,3.5 star rating,86,Austrian,$$,Unionville Mainstreet
Hatch,5 star rating,13,Coffee & Tea,$$,Brown's Corners
Yunshang Rice Noodle House,4.5 star rating,29,Chinese,$$,Brown's Corners
Casa-Imperial,3.5 star rating,224,Dim Sum,$$,Milliken
Pop Up House,3.5 star rating,58,Desserts,$,Unionville
Los Chicos Brasa,3.5 star rating,96,Chicken Wings,$$,Unionville
The Toston,4.5 star rating,34,Colombian,$$,Box Grove
Halibut House Fish and Chips,3.5 star rating,105,Fish & Chips,$$,
Haru,4 star rating,201,Japanese,$$,
Scaddabush Italian Kitchen & Bar Richmond Hill,3.5 star rating,390,Italian,$$,
The Keg Steakhouse and Bar,4 star rating,200,Steakhouses,$$$,
Hai Tang Cafe,3.5 star rating,93,Chinese,$,Buttonville
OneZo Tapioca,3.5 star rating,63,Bubble Tea,$$,Brown's Corners
Metro Square Cafe Restaurant,3 star rating,108,Cafes,$,Scarborough
Babu,3 star rating,117,Indian,$,
AllStar Wings & Ribs,3.5 star rating,104,Chicken Wings,$$,
Five Guys,3.5 star rating,89,Burgers,$$,Unionville
Ho Ho Barbeque,4 star rating,101,Chinese,$,Milliken
Syogun Sushi Bar,3 star rating,188,Sushi Bars,$$,Brown's Corners
The Red,3.5 star rating,80,Chinese,$$,Unionville
Porta Via,4.5 star rating,22,Sandwiches,$$,Brown's Corners
ALA Kitchen,3 star rating,104,Dim Sum,$$,Brown's Corners
Sura Korean Cuisine,3.5 star rating,84,Korean,$$,Unionville
Blue Ocean Cafe,3 star rating,124,Chinese,$,Unionville
Pho Q,4 star rating,208,Vietnamese,$$,Milliken
Danny’s Fish & Chips,4 star rating,68,Fish & Chips,$$,Unionville
Cravins Caribbean Grill,3.5 star rating,69,Caribbean,$,
Keung’s Delight,3 star rating,145,Chinese,$$,
Green Tea Restaurant,3 star rating,122,Chinese,$$,Brown's Corners
Jim Chai Kee Wonton Noodle,4 star rating,102,Chinese,$$,Milliken
Carmelina Restaurant,3.5 star rating,67,Italian,$$$,
Phoenix Restaurant,3 star rating,152,Chinese,$$,
Nam Vietnamese Restaurant,4 star rating,266,Vietnamese,$$,
Nguyen Huong Foods Company,4 star rating,101,Vietnamese,$,Scarborough
Markham Sushi,4 star rating,64,Sushi Bars,$$,
Keung’s Restaurant,3.5 star rating,76,Chinese,$$,Unionville
Jordan’s Shawarma,4.5 star rating,72,Middle Eastern,,Middle Eastern
Mom’s Kitchen,3 star rating,85,Korean,$,Unionville
SOHO Bakery & Desserts,3.5 star rating,53,Desserts,$,Buttonville
Novello Desserts,4 star rating,47,Desserts,$,Unionville
Nam 2,3.5 star rating,66,Vietnamese,$$,Unionville
Allan’s Pastry Shop,4.5 star rating,51,Bakeries,$,Milliken
Onigiri Kai Kyo Tei,4 star rating,37,Japanese,$,Milliken
Cafe Bon Bon,3.5 star rating,266,Coffee & Tea,$$,
Pho Quinn Authentic Vietnamese Cuisine,3 star rating,150,Vietnamese,$$,Unionville
Little Bangkok,3.5 star rating,96,Thai,$$,
Kung Fu Noodle,3.5 star rating,58,Chinese,$,Brown's Corners
The Alley Warden,3.5 star rating,58,Tea Rooms,$$,
Good Catch Cafe,4 star rating,40,Hong Kong Style Cafe,$$,Unionville
Sun Tea,4.5 star rating,16,Bubble Tea,$,Unionville
Tanuki Restaurant,3.5 star rating,52,Japanese,$$,
Restoran Malaysia,3.5 star rating,539,Malaysian,$$,
Me Va Me Kitchen Express,3 star rating,94,Mediterranean,$$,Unionville
